Distance,ExecutionTime,
310,0.01451826,
311,0.0128324,
312,0.01193404,
313,0.01199126,
314,0.01208162,
315,0.01219463,
316,0.01223493,
317,0.01226974,
318,0.01234078,
319,0.01238155,
320,0.01233149,
321,0.01250482,
322,0.01356673,
323,0.01256537,
324,0.01289511,
325,0.01272035,
326,0.01303911,
327,0.01303554,
328,0.01843238,
329,0.01465344,
330,0.01480389,
331,0.01323771,
332,0.01326585,
333,0.01326919,
334,0.01710057,
335,0.02225542,
336,0.01578808,
337,0.01353931,
338,0.01360679,
339,0.01371479,
340,0.01365161,
341,0.01383448,
342,0.01377368,
343,0.01384687,
344,0.0141232,
345,0.01400924,
346,0.01417279,
347,0.02078056,
348,0.01532722,
349,0.01427674,
350,0.01432991,
351,0.01451588,
352,0.01458669,
353,0.01454282,
354,0.01459098,
355,0.01471329,
356,0.01480532,
357,0.01490641,
358,0.02009439,
359,0.01490211,
360,0.01502752,
361,0.01512313,
362,0.01512504,
363,0.01526713,
364,0.01534605,
365,0.01538539,
366,0.01548743,
367,0.01552486,
368,0.01572323,
369,0.01561666,
370,0.01567125,
371,0.01592994,
372,0.01592398,
373,0.01594782,
374,0.0159533,
375,0.01721883,
376,0.01618743,
377,0.01630092,
378,0.01632714,
379,0.01632643,
380,0.01654482,
381,0.01648021,
382,0.01652312,
383,0.01669955,
384,0.01679659,
385,0.01684308,
386,0.01696134,
387,0.0172205,
388,0.01714635,
389,0.01711059,
390,0.01720977,
391,0.01728082,
392,0.01735926,
393,0.01751041,
394,0.0175035,
395,0.0176897,
396,0.01779199,
397,0.01779675,
398,0.01797247,
399,0.01809669,
400,0.01805067,
